HP:0001667	MP:0006391
HP:0001027	MP:0008517
HP:0003324	MP:0000874
HP:0004920	MP:0008844
HP:0005565	MP:0000875
HP:0011207	MP:0000125
HP:0002144	MP:0011272
HP:0011862	MP:0003715
HP:0011689	MP:0008305
HP:0006977	MP:0002847
HP:0006337	MP:0010359
HP:0002783	MP:0010221
HP:0004810	MP:0011070
HP:0005360	MP:0004130
HP:0009141	MP:0003896
HP:0000369	MP:0011401
HP:0012312	MP:0005040
HP:0001978	MP:0008515
HP:0009458	MP:0011030
HP:0010854	MP:0006315
HP:0011259	MP:0009299
HP:0000819	MP:0012055
HP:0008815	MP:0011778
HP:0011529	MP:0008224
HP:0010035	MP:0011096
HP:0003554	MP:0003783
HP:0001706	MP:0008836
HP:0007866	MP:0004436
HP:0003466	MP:0001217
HP:0009847	MP:0012618
HP:0003647	MP:0006002
HP:0009660	MP:0010690
HP:0001953	MP:0009423
HP:0003295	MP:0011065
HP:0011112	MP:0012427
HP:0011237	MP:0006403
HP:0002747	MP:0010202
HP:0011735	MP:0008236
HP:0003451	MP:0008138
HP:0006203	MP:0009434
HP:0100057	MP:0010916
HP:0012657	MP:0008280
HP:0000933	MP:0011269
HP:0008396	MP:0000870
HP:0011653	MP:0000736
HP:0008039	MP:0012186
HP:0009974	MP:0001020
HP:0003336	MP:0010846
HP:0007958	MP:0012129
HP:0012116	MP:0009992
HP:0010255	MP:0009436
HP:0008278	MP:0012578
HP:0003778	MP:0009284
HP:0100017	MP:0001415
HP:0004496	MP:0009099
HP:0001841	MP:0009278
HP:0012321	MP:0004487
HP:0200150	MP:0001249
HP:0005307	MP:0003960
HP:0011264	MP:0011118
HP:0002864	MP:0012348
HP:0007589	MP:0003492
HP:0003329	MP:0010150
HP:0006518	MP:0012587
HP:0010112	MP:0012568
HP:0007430	MP:0008514
HP:0004527	MP:0005390
HP:0100481	MP:0011031
HP:0002865	MP:0011659
HP:0005900	MP:0008726
HP:0004001	MP:0006067
HP:0005505	MP:0010693
HP:0011870	MP:0004621
HP:0012441	MP:0008777
HP:0007928	MP:0008735
HP:0100950	MP:0011177
HP:0003803	MP:0012201
HP:0003347	MP:0004753
HP:0004889	MP:0000983
HP:0000047	MP:0009555
HP:0006213	MP:0008585
HP:0012413	MP:0009740
HP:0011379	MP:0005042
HP:0008473	MP:0002455
HP:0006442	MP:0009739
HP:0005941	MP:0010430
HP:0005605	MP:0002946
HP:0010998	MP:0009974
HP:0008666	MP:0009420
HP:0000993	MP:0009244
HP:0009373	MP:0000875
HP:0005688	MP:0000403
HP:0009736	MP:0012478
HP:0003928	MP:0000786
HP:0003829	MP:0008511
HP:0011187	MP:0005289
HP:0012579	MP:0004535
HP:0003117	MP:0004751
HP:0009145	MP:0011667
HP:0000551	MP:0009886
HP:0011596	MP:0000240
HP:0005195	MP:0002156
HP:0006337	MP:0010435
HP:0006118	MP:0010890
HP:0008272	MP:0003895
HP:0003277	MP:0006398
HP:0012013	MP:0009353
HP:0005650	MP:0008360
HP:0011295	MP:0011632
HP:0010855	MP:0000392
HP:0004660	MP:0003176
HP:0007153	MP:0004944
HP:0003534	MP:0001021
HP:0002494	MP:0012317
HP:0000640	MP:0009305
HP:0009323	MP:0011816
HP:0100450	MP:0008152
HP:0011114	MP:0011032
HP:0005769	MP:0008389
HP:0100096	MP:0012469
HP:0003564	MP:0008085
HP:0011201	MP:0008658
HP:0012568	MP:0011034
HP:0012296	MP:0009402
HP:0007598	MP:0006326
HP:0012069	MP:0009505
HP:0007506	MP:0002410
HP:0006694	MP:0011027
HP:0000736	MP:0012373
HP:0011624	MP:0009746
HP:0011406	MP:0005070
HP:0004931	MP:0002847
HP:0011155	MP:0000611
HP:0003426	MP:0006042
HP:0011569	MP:0003480
HP:0007449	MP:0004746
HP:0012559	MP:0011030
HP:0012438	MP:0001740
HP:0005684	MP:0005595
HP:0004361	MP:0003802
HP:0010402	MP:0004695
HP:0100838	MP:0011162
HP:0003994	MP:0011955
HP:0010340	MP:0004524
HP:0007958	MP:0010565
HP:0005144	MP:0011626
HP:0011691	MP:0004360
HP:0009177	MP:0001690
HP:0008796	MP:0003701
HP:0011697	MP:0000961
HP:0100304	MP:0003420
HP:0007365	MP:0004763
HP:0007307	MP:0002140
HP:0002996	MP:0001658
HP:0008677	MP:0004417
HP:0004581	MP:0012478
HP:0003021	MP:0000156
HP:0010814	MP:0001069
HP:0006461	MP:0009888
HP:0011694	MP:0003285
HP:0002066	MP:0010269
HP:0100388	MP:0002140
HP:0011688	MP:0003274
HP:0007924	MP:0003285
HP:0001223	MP:0002610
HP:0010428	MP:0005615
HP:0011567	MP:0009762
HP:0011496	MP:0008475
HP:0012202	MP:0002791
HP:0011296	MP:0010602
HP:0010949	MP:0011819
HP:0006510	MP:0011148
HP:0011382	MP:0011244
HP:0006755	MP:0003967
HP:0004354	MP:0010670
HP:0001334	MP:0010782
HP:0009734	MP:0009712
HP:0002055	MP:0006397
HP:0011095	MP:0000387
HP:0100773	MP:0011077
HP:0009296	MP:0010229
HP:0005160	MP:0008214
HP:0011385	MP:0005224
HP:0004476	MP:0006010
HP:0006391	MP:0011074
HP:0008271	MP:0002779
HP:0000954	MP:0011225
HP:0005640	MP:0010631
HP:0010447	MP:0009842
HP:0007782	MP:0004416
HP:0007744	MP:0010807
HP:0005997	MP:0004076
HP:0007839	MP:0006009
HP:0012133	MP:0006205
HP:0006064	MP:0011662
HP:0002840	MP:0000862
HP:0007370	MP:0009746
HP:0007561	MP:0003824
HP:0007295	MP:0008239
HP:0005997	MP:0000784
HP:0011562	MP:0009302
HP:0001146	MP:0001837
HP:0001062	MP:0000041
HP:0011208	MP:0010819
HP:0002519	MP:0011147
HP:0004236	MP:0000389
HP:0002872	MP:0010221
HP:0006837	MP:0012478
HP:0006919	MP:0009546
HP:0100697	MP:0011097
HP:0011671	MP:0003800
HP:0005147	MP:0009749
HP:0005988	MP:0004050
HP:0011060	MP:0009399
HP:0004891	MP:0003641
HP:0009003	MP:0008938
HP:0005186	MP:0003220
HP:0004186	MP:0003740
HP:0003716	MP:0000601
HP:0000972	MP:0008836
HP:0011688	MP:0008869
HP:0002553	MP:0004465
HP:0004885	MP:0011934
HP:0009520	MP:0009406
HP:0006590	MP:0002150
HP:0100532	MP:0003745
HP:0003557	MP:0006282
HP:0008826	MP:0010845
HP:0011874	MP:0011267
HP:0011086	MP:0009857
HP:0011345	MP:0006271
HP:0010306	MP:0005670
HP:0005369	MP:0012153
HP:0100283	MP:0012504
HP:0005572	MP:0010703
HP:0006291	MP:0006128
HP:0000200	MP:0011036
HP:0007634	MP:0011694
HP:0006855	MP:0004746
HP:0008589	MP:0011145
HP:0010415	MP:0000143
HP:0010175	MP:0008141
HP:0005815	MP:0012041
HP:0009202	MP:0008353
HP:0009319	MP:0009975
HP:0011145	MP:0004516
HP:0001802	MP:0004737
HP:0005989	MP:0004039
HP:0006938	MP:0000490
HP:0100245	MP:0008520
HP:0003988	MP:0000176
HP:0011187	MP:0004207
HP:0002474	MP:0009307
HP:0010592	MP:0004301
HP:0011833	MP:0004585
HP:0007052	MP:0000582
HP:0001226	MP:0003429
HP:0009142	MP:0008482
HP:0002220	MP:0005105
HP:0009520	MP:0011134
HP:0011989	MP:0009025
HP:0007928	MP:0001014
HP:0003564	MP:0000066
HP:0011188	MP:0004785
HP:0008314	MP:0000165
HP:0007270	MP:0011830
HP:0012313	MP:0004003
HP:0010971	MP:0009554
HP:0005571	MP:0002456
HP:0010096	MP:0009657
HP:0012270	MP:0010426
HP:0003237	MP:0010405
HP:0011293	MP:0004839
HP:0005233	MP:0005223
HP:0012483	MP:0008902
HP:0004278	MP:0004802
HP:0010484	MP:0011097
HP:0100923	MP:0010599
HP:0003853	MP:0002143
HP:0011279	MP:0000401
HP:0007108	MP:0010807
HP:0100023	MP:0011966
HP:0010844	MP:0011128
HP:0012022	MP:0012577
HP:0009188	MP:0000993
HP:0001889	MP:0011607
HP:0005267	MP:0010870
HP:0200110	MP:0000892
HP:0008283	MP:0011244
HP:0011184	MP:0000319
HP:0000718	MP:0012450
HP:0000357	MP:0010576
HP:0011697	MP:0005035
HP:0012131	MP:0003241
HP:0005247	MP:0000105
HP:0005100	MP:0003040
HP:0000297	MP:0005062
HP:0011710	MP:0009404
HP:0000475	MP:0011119
HP:0012073	MP:0001005
HP:0010150	MP:0012341
HP:0100841	MP:0011032
HP:0006226	MP:0009122
HP:0011668	MP:0009782
HP:0006781	MP:0010919
HP:0100783	MP:0010444
HP:0012562	MP:0002838
HP:0003799	MP:0001353
HP:0100838	MP:0011225
HP:0005136	MP:0000786
HP:0011433	MP:0004666
HP:0011722	MP:0009998
HP:0001129	MP:0006027
HP:0006938	MP:0002373
HP:0006615	MP:0008510
HP:0009408	MP:0009888
HP:0012269	MP:0011057
HP:0010706	MP:0010757
HP:0008435	MP:0000054
HP:0009891	MP:0000871
HP:0000793	MP:0004431
HP:0100931	MP:0004813
HP:0003840	MP:0011818
HP:0005640	MP:0006274
HP:0009201	MP:0009128
HP:0012650	MP:0005070
HP:0001898	MP:0002143
HP:0012009	MP:0012640
HP:0007634	MP:0004315
HP:0007561	MP:0010632
HP:0000970	MP:0000387
HP:0001133	MP:0010435
HP:0009856	MP:0009753
HP:0003267	MP:0003306
HP:0100859	MP:0010757
HP:0006769	MP:0000941
HP:0011559	MP:0008644
HP:0003982	MP:0011022
HP:0003126	MP:0008860
HP:0005009	MP:0008407
HP:0010561	MP:0000870
HP:0011592	MP:0008014
HP:0008615	MP:0009927
HP:0012358	MP:0004658
HP:0008529	MP:0003080
HP:0006019	MP:0003188
HP:0003755	MP:0001856
HP:0001176	MP:0009302
HP:0011781	MP:0010675
HP:0003774	MP:0008885
HP:0010511	MP:0010697
HP:0003450	MP:0008304
HP:0001302	MP:0000942
HP:0001442	MP:0004585
HP:0100091	MP:0010475
HP:0003106	MP:0008699
HP:0009055	MP:0011745
HP:0012012	MP:0010333
HP:0011294	MP:0011137
HP:0004954	MP:0003220
HP:0003397	MP:0004656
HP:0006694	MP:0001841
HP:0004201	MP:0000143
HP:0007815	MP:0012615
HP:0010921	MP:0004572
HP:0009309	MP:0010830
HP:0001278	MP:0008758
HP:0005832	MP:0004464
HP:0003380	MP:0004818
HP:0003153	MP:0011859
HP:0010558	MP:0011745
HP:0000468	MP:0010920
HP:0011381	MP:0010445
HP:0002963	MP:0010199
HP:0003371	MP:0003010
HP:0006916	MP:0001024
HP:0200110	MP:0009474
HP:0004880	MP:0005231
HP:0011807	MP:0011917
HP:0006150	MP:0011910
HP:0200115	MP:0010640
HP:0011791	MP:0011966
HP:0009399	MP:0008303
HP:0011190	MP:0000156
HP:0010997	MP:0008951
HP:0004045	MP:0004464
HP:0001969	MP:0012444
HP:0008730	MP:0004872
HP:0010722	MP:0000731
HP:0006376	MP:0000299
HP:0010861	MP:0008761
HP:0012570	MP:0001180
HP:0100613	MP:0000389
HP:0008320	MP:0011847
HP:0008306	MP:0008703
HP:0005863	MP:0000976
HP:0003494	MP:0009273
HP:0003517	MP:0004040
HP:0008723	MP:0012046
HP:0007634	MP:0010010
HP:0012647	MP:0011074
HP:0002398	MP:0005043
HP:0001466	MP:0003694
HP:0008659	MP:0004384
HP:0003621	MP:0008766
HP:0001113	MP:0010222
HP:0012018	MP:0002950
HP:0004256	MP:0010919
HP:0007935	MP:0002532
HP:0010921	MP:0011114
HP:0009377	MP:0005526
HP:0011735	MP:0009047
HP:0003529	MP:0006154
HP:0011598	MP:0008867
HP:0007057	MP:0008851
HP:0005648	MP:0010670
HP:0006830	MP:0008226
HP:0006597	MP:0008403
HP:0000943	MP:0008197
HP:0005767	MP:0010767
HP:0002494	MP:0009993
HP:0009726	MP:0003992
HP:0100030	MP:0011609
HP:0004974	MP:0001055
HP:0002436	MP:0009488
HP:0100163	MP:0002053
HP:0002897	MP:0011352
HP:0003554	MP:0004414
HP:0012496	MP:0012422
HP:0011671	MP:0002376
HP:0010194	MP:0003242
HP:0007590	MP:0003204
HP:0001787	MP:0004466
HP:0011654	MP:0000950
HP:0010959	MP:0004408
HP:0012616	MP:0004489
HP:0012667	MP:0002870
HP:0000593	MP:0003041
HP:0003688	MP:0005652
HP:0011970	MP:0012204
HP:0004110	MP:0008708
HP:0003834	MP:0003967
HP:0003327	MP:0008760
HP:0001775	MP:0012205
HP:0100822	MP:0011667
HP:0011651	MP:0008121
HP:0008473	MP:0003418
HP:0004241	MP:0003300
HP:0007436	MP:0003162
HP:0011064	MP:0003682
HP:0010854	MP:0000268
HP:0006077	MP:0004548
HP:0011658	MP:0002411
HP:0005659	MP:0011105
HP:0009084	MP:0004767
HP:0011689	MP:0008182
HP:0006088	MP:0009630
HP:0011301	MP:0000105
HP:0004459	MP:0009408
HP:0002756	MP:0009747
HP:0008222	MP:0011752
HP:0003208	MP:0009093
HP:0003267	MP:0000924
HP:0000660	MP:0001457
HP:0100059	MP:0010443
HP:0002168	MP:0003542
HP:0000648	MP:0004737
HP:0012552	MP:0010670
HP:0011279	MP:0011095
HP:0003302	MP:0011112
HP:0010093	MP:0012592
HP:0002729	MP:0004464
HP:0007608	MP:0006055
HP:0007958	MP:0008666
HP:0011632	MP:0003022
HP:0011142	MP:0008777
HP:0007494	MP:0012546
HP:0004384	MP:0008759
HP:0008653	MP:0001797
HP:0011748	MP:0002149
HP:0012184	MP:0000871
HP:0000549	MP:0000959
HP:0012266	MP:0004438
HP:0004399	MP:0009546
HP:0200136	MP:0011244
HP:0002206	MP:0004995
HP:0009301	MP:0010838
HP:0200144	MP:0011119
HP:0011549	MP:0005067
HP:0004209	MP:0008482
HP:0012195	MP:0011006
HP:0005815	MP:0004874
HP:0012626	MP:0001855
HP:0008997	MP:0008531
HP:0001962	MP:0005066
HP:0003203	MP:0003746
HP:0005863	MP:0010426
HP:0006175	MP:0009147
HP:0008433	MP:0010475
HP:0001518	MP:0008853
HP:0007501	MP:0000731
HP:0005597	MP:0006269
HP:0011889	MP:0005087
HP:0200025	MP:0001246
HP:0004676	MP:0003406
HP:0011667	MP:0010440
HP:0011889	MP:0010695
HP:0001685	MP:0011274
HP:0004289	MP:0006069
HP:0002439	MP:0012379
HP:0001686	MP:0011022
HP:0010112	MP:0006277
HP:0011592	MP:0012570
HP:0007686	MP:0011453
HP:0012267	MP:0004504
HP:0002225	MP:0009749
HP:0004614	MP:0000073
HP:0006685	MP:0001740
HP:0100841	MP:0004464
HP:0008309	MP:0003482
HP:0003248	MP:0008860
HP:0003529	MP:0009086
HP:0008372	MP:0000544
HP:0004012	MP:0000544
HP:0003635	MP:0004702
HP:0008710	MP:0011169
HP:0011790	MP:0000449
HP:0005472	MP:0011934
HP:0012013	MP:0006427
HP:0001223	MP:0011753
HP:0011471	MP:0004685
HP:0010845	MP:0011442
HP:0006976	MP:0010756
HP:0009170	MP:0001041
HP:0011760	MP:0008761
HP:0009511	MP:0000683
HP:0002607	MP:0008768
HP:0011569	MP:0011826
HP:0010845	MP:0002274
HP:0012299	MP:0004500
HP:0003165	MP:0005315
HP:0007573	MP:0002453
HP:0011449	MP:0011034
HP:0004987	MP:0009424
HP:0005033	MP:0010934
HP:0000040	MP:0008760
HP:0004444	MP:0008831
HP:0003426	MP:0006059
HP:0010191	MP:0004874
HP:0010068	MP:0000976
HP:0005532	MP:0011114
HP:0003935	MP:0008859
HP:0012014	MP:0012009
HP:0011291	MP:0004369
HP:0002376	MP:0009888
HP:0004975	MP:0001055
HP:0012390	MP:0011031
HP:0003529	MP:0010782
HP:0011787	MP:0011675
HP:0011688	MP:0005452
HP:0004058	MP:0010599
HP:0011619	MP:0008201
HP:0004291	MP:0012453
HP:0003187	MP:0001904
HP:0007402	MP:0004535
HP:0011197	MP:0003034
HP:0011720	MP:0003092
HP:0003455	MP:0000365
HP:0012216	MP:0011721
HP:0005298	MP:0010712
HP:0200143	MP:0008408
HP:0000005	MP:0004535
HP:0012256	MP:0009451
HP:0008702	MP:0002859
HP:0004948	MP:0005064
HP:0010716	MP:0001694
HP:0002439	MP:0009713
HP:0007208	MP:0012175
HP:0100139	MP:0001840
HP:0003647	MP:0001316
HP:0007508	MP:0000779
HP:0100377	MP:0009757
HP:0006696	MP:0009778
HP:0011654	MP:0012658
HP:0008440	MP:0012469
HP:0003378	MP:0000993
HP:0012202	MP:0005166
HP:0006510	MP:0010230
HP:0001117	MP:0002771
HP:0006758	MP:0012485
HP:0011666	MP:0012050
HP:0005498	MP:0012601
HP:0007935	MP:0001410
HP:0100061	MP:0011107
HP:0100404	MP:0010068
HP:0001034	MP:0009968
HP:0004889	MP:0002687
HP:0012033	MP:0001416
HP:0009211	MP:0002150
HP:0100283	MP:0010722
HP:0004223	MP:0010405
HP:0005833	MP:0005195
HP:0002730	MP:0012425
HP:0011511	MP:0012422
HP:0008767	MP:0009439
HP:0002374	MP:0002532
HP:0001886	MP:0011540
HP:0001141	MP:0009306
HP:0008730	MP:0008203
HP:0003466	MP:0004462
HP:0007787	MP:0011721
HP:0100304	MP:0012647
HP:0004878	MP:0004323
HP:0009242	MP:0000064
HP:0005314	MP:0004295
HP:0005170	MP:0004376
HP:0005769	MP:0001743
HP:0100807	MP:0011608
HP:0000571	MP:0010934
HP:0007052	MP:0005042
HP:0004264	MP:0000742
HP:0010570	MP:0005062
HP:0009005	MP:0012191
HP:0006326	MP:0001796
HP:0010890	MP:0005212
HP:0000548	MP:0008561
HP:0005240	MP:0009752
HP:0011190	MP:0000025
HP:0004476	MP:0009015
HP:0007232	MP:0005595
HP:0002349	MP:0008853
HP:0008221	MP:0010970
HP:0005092	MP:0003814
HP:0011559	MP:0004372
HP:0005325	MP:0002540
HP:0007490	MP:0011688
HP:0005366	MP:0006331
HP:0002304	MP:0011033
HP:0001444	MP:0000344
HP:0006450	MP:0004243
HP:0006516	MP:0008777
HP:0009236	MP:0002149
HP:0007590	MP:0002228
HP:0001049	MP:0008454
HP:0100661	MP:0012394
HP:0007316	MP:0000942
HP:0012348	MP:0011029
HP:0005895	MP:0005212
HP:0005916	MP:0002452
HP:0000546	MP:0008141
HP:0007367	MP:0012048
HP:0005180	MP:0009916
HP:0005988	MP:0009927
HP:0100447	MP:0003740
HP:0002876	MP:0011274
HP:0008672	MP:0008831
HP:0010285	MP:0009927
HP:0100443	MP:0011816
HP:0012388	MP:0009296
HP:0007305	MP:0001838
HP:0001675	MP:0006110
HP:0012662	MP:0012468
HP:0011625	MP:0005211
HP:0007880	MP:0009299
HP:0003640	MP:0000921
HP:0009452	MP:0002593
HP:0003987	MP:0003207
HP:0010492	MP:0004417
HP:0000923	MP:0003544
HP:0003262	MP:0002552
HP:0010923	MP:0010576
HP:0003376	MP:0011911
HP:0009285	MP:0009739
HP:0002165	MP:0010172
HP:0010773	MP:0012634
HP:0007916	MP:0011765
HP:0011697	MP:0002930
HP:0000661	MP:0010813
HP:0008464	MP:0008599
HP:0001026	MP:0008849
HP:0001074	MP:0000863
HP:0005336	MP:0008520
HP:0010177	MP:0004301
HP:0001922	MP:0009713
HP:0006069	MP:0002982
HP:0000891	MP:0010046
HP:0009648	MP:0008639
HP:0010522	MP:0011274
HP:0000982	MP:0004301
HP:0007776	MP:0008745
HP:0011050	MP:0012572
HP:0009576	MP:0009850
HP:0003261	MP:0009888
HP:0006251	MP:0001904
HP:0005298	MP:0008919
HP:0004002	MP:0012014
HP:0008647	MP:0008486
HP:0010817	MP:0010172
HP:0004008	MP:0011063
HP:0003835	MP:0002156
HP:0009234	MP:0010229
HP:0003329	MP:0009902
HP:0011649	MP:0005375
HP:0005486	MP:0002982
HP:0005045	MP:0012670
HP:0005294	MP:0002977
HP:0003204	MP:0010090
HP:0011493	MP:0008413
HP:0007471	MP:0004573
HP:0100405	MP:0005089
HP:0012198	MP:0004747
HP:0200138	MP:0008746
HP:0012264	MP:0008367
HP:0005160	MP:0000991
HP:0005148	MP:0010444
HP:0012262	MP:0001042
HP:0010957	MP:0012341
HP:0002275	MP:0009769
HP:0003466	MP:0010857
HP:0008067	MP:0003670
HP:0002548	MP:0008489
HP:0003338	MP:0001998
HP:0002216	MP:0009290
HP:0003213	MP:0009176
HP:0100894	MP:0011034
HP:0011737	MP:0011935
HP:0006094	MP:0012593
HP:0011458	MP:0012450
HP:0000753	MP:0002805
HP:0012086	MP:0009466
HP:0001900	MP:0008836
HP:0009148	MP:0004612
HP:0002626	MP:0011994
HP:0003189	MP:0004466
HP:0002572	MP:0009758
HP:0003226	MP:0008543
HP:0008826	MP:0011669
HP:0007285	MP:0009101
HP:0010435	MP:0002594
HP:0009946	MP:0011659
HP:0012348	MP:0009403
HP:0005190	MP:0004525
HP:0003066	MP:0010536
HP:0009331	MP:0000239
HP:0008528	MP:0004841
HP:0003572	MP:0003464
HP:0011184	MP:0011066
HP:0009922	MP:0012458
HP:0003760	MP:0008893
HP:0011678	MP:0012572
HP:0011737	MP:0012406
HP:0003221	MP:0009173
HP:0012662	MP:0003946
HP:0012438	MP:0004393
HP:0003234	MP:0008364
HP:0010508	MP:0005043
HP:0005267	MP:0012272
HP:0011659	MP:0006172
HP:0002384	MP:0008161
HP:0009467	MP:0011665
HP:0100261	MP:0011911
HP:0008045	MP:0011016
HP:0100201	MP:0011171
HP:0012358	MP:0010948
HP:0100448	MP:0010220
HP:0007502	MP:0012075
HP:0002207	MP:0012388
HP:0008297	MP:0012486
HP:0100510	MP:0011145
HP:0004421	MP:0004243
HP:0001504	MP:0011099
HP:0002578	MP:0003745
HP:0011613	MP:0009748
HP:0000910	MP:0012395
HP:0006502	MP:0005043
HP:0002220	MP:0003215
HP:0005315	MP:0006331
HP:0004083	MP:0003171
HP:0003694	MP:0004220
HP:0002202	MP:0004218
HP:0005650	MP:0011482
HP:0009614	MP:0003814
HP:0005689	MP:0005112
HP:0006088	MP:0002345
HP:0002561	MP:0000741
HP:0004887	MP:0011708
HP:0009443	MP:0008518
HP:0007661	MP:0004753
HP:0003557	MP:0009863
HP:0003859	MP:0009299
HP:0200113	MP:0011895
HP:0003538	MP:0000978
HP:0007341	MP:0012048
HP:0003840	MP:0008925
HP:0002673	MP:0011076
HP:0003265	MP:0001838
HP:0006503	MP:0011916
HP:0001929	MP:0011120
HP:0004771	MP:0008206
HP:0011008	MP:0001457
HP:0004664	MP:0010931
HP:0011776	MP:0012075
HP:0008153	MP:0001043
HP:0012359	MP:0008522
HP:0011548	MP:0000103
HP:0008615	MP:0008456
HP:0012444	MP:0009596
HP:0012660	MP:0001170
HP:0002922	MP:0011917
HP:0007232	MP:0003535
HP:0005744	MP:0003239
HP:0001947	MP:0008836
HP:0008290	MP:0002554
HP:0005772	MP:0012470
HP:0009170	MP:0009750
HP:0100658	MP:0008513
HP:0005747	MP:0008333
HP:0100896	MP:0011272
HP:0012356	MP:0004395
HP:0002636	MP:0005455
HP:0003455	MP:0011524
HP:0007351	MP:0011027
HP:0001032	MP:0012297
HP:0004887	MP:0008393
HP:0002959	MP:0002635
HP:0004635	MP:0010701
HP:0010943	MP:0004434
HP:0002099	MP:0010701
HP:0012127	MP:0010430
HP:0005084	MP:0005670
HP:0009308	MP:0005659
HP:0100573	MP:0011698
HP:0011989	MP:0003035
HP:0012528	MP:0001464
HP:0010963	MP:0003145
HP:0000956	MP:0011818
HP:0100283	MP:0008413
HP:0004289	MP:0000293
HP:0010227	MP:0010816
HP:0010625	MP:0001783
HP:0007659	MP:0004001
HP:0003697	MP:0004432
HP:0000732	MP:0006270
HP:0012564	MP:0009766
HP:0005409	MP:0000643
HP:0008478	MP:0000665
HP:0007097	MP:0000665
HP:0011598	MP:0006240
HP:0100627	MP:0003466
HP:0002641	MP:0010173
HP:0010566	MP:0002382
HP:0007756	MP:0002502
HP:0006790	MP:0004442
HP:0002167	MP:0004745
HP:0012259	MP:0012438
HP:0011786	MP:0000124
HP:0005253	MP:0008090
HP:0003755	MP:0005501
HP:0001049	MP:0004638
HP:0008478	MP:0000855
HP:0009085	MP:0002398
HP:0011648	MP:0002915
HP:0012662	MP:0003400
HP:0012259	MP:0003969
HP:0008838	MP:0003944
HP:0007824	MP:0012319
HP:0008767	MP:0005363
HP:0001144	MP:0011745
HP:0003640	MP:0001788
HP:0008204	MP:0000778
HP:0009557	MP:0004876
HP:0011177	MP:0003783
HP:0008915	MP:0010358
HP:0011589	MP:0004795
HP:0011878	MP:0004709
HP:0012005	MP:0012319
HP:0010749	MP:0010824
HP:0011643	MP:0012082
HP:0003730	MP:0001415
HP:0008035	MP:0011099
HP:0003799	MP:0003145
HP:0011571	MP:0002162
